,price
918,219.0
922,854.0
923,359.0
924,161.0
926,72.0
927,171.0
929,151.0
933,99.0
935,99.0
937,157.0
938,219.0
940,376.0
943,199.0
946,223.0
947,246.0
949,188.0
950,99.0
951,400.0
952,301.0
955,201.0
957,301.0
959,130.0
962,171.0
963,201.0
964,150.0
966,130.0
967,799.0
968,499.0
972,109.0
973,110.0
974,512.0
976,116.0
977,120.0
978,86.0
979,120.0
981,1199.0
982,239.0
984,89.0
985,447.0
987,89.0
988,212.0
991,154.0
993,318.0
994,505.0
996,1000.0
997,79.0
999,181.0
1000,270.0
1001,161.0
1003,188.0
1004,143.0
1005,280.0
1007,150.0
1008,799.0
1009,249.0
1010,109.0
1012,143.0
1013,400.0
1014,150.0
1016,68.0
1019,140.0
1020,201.0
1021,270.0
1023,290.0
1024,181.0
1028,150.0
1030,410.0
1031,854.0
1033,120.0
1036,120.0
1037,140.0
1038,239.0
1039,174.0
1040,150.0
1044,99.0
1045,68.0
1047,219.0
1048,205.0
1049,120.0
1051,328.0
1053,79.0
1054,400.0
1055,199.0
1056,301.0
1057,301.0
1059,79.0
1061,239.0
1062,99.0
1063,205.0
1064,140.0
1065,546.0
1066,151.0
1067,79.0
1068,99.0
1069,557.0
1070,201.0
1071,123.0
1076,150.0
1077,72.0
1079,683.0
1081,130.0
1084,499.0
1085,1000.0
1086,201.0
1087,140.0
1090,359.0
1091,601.0
1092,205.0
1093,191.0
1094,400.0
1095,348.0
1096,137.0
1097,99.0
1098,329.0
1099,219.0
1100,250.0
1101,550.0
1105,205.0
1107,150.0
1110,239.0
1111,500.0
1112,693.0
1114,120.0
1116,301.0
1117,174.0
1119,601.0
1120,201.0
1121,348.0
1125,201.0
1126,290.0
1127,232.0
1128,451.0
1129,1001.0
1134,171.0
1136,99.0
1138,120.0
1139,79.0
1140,239.0
1141,680.0
1145,499.0
1147,308.0
1148,171.0
1149,379.0
1150,68.0
1151,1021.0
1153,348.0
1155,239.0
1156,157.0
1158,229.0
1163,253.0
1164,85.0
1166,68.0
1167,130.0
1168,294.0
1170,1195.0
1173,161.0
1174,154.0
1175,683.0
1176,301.0
1178,208.0
1180,143.0
1181,201.0
1182,451.0
1184,410.0
1185,89.0
1187,249.0
1191,181.0
1192,188.0
1193,154.0
1194,51.0
1195,130.0
1197,281.0
1199,89.0
1201,109.0
1202,41.0
1203,444.0
1204,150.0
1205,512.0
1206,486.0
1208,161.0
1209,161.0
1210,322.0
1211,161.0
1212,144.0
1216,130.0
1217,181.0
1218,410.0
1219,113.0
1221,96.0
1222,137.0
1223,181.0
1225,143.0
1226,181.0
1228,669.0
1229,294.0
1233,199.0
1235,85.0
1238,167.0
1239,229.0
1240,499.0
1241,232.0
1243,239.0
1244,99.0
1245,195.0
1246,195.0
1247,161.0
1248,126.0
1250,161.0
1251,133.0
1252,201.0
1253,68.0
1254,171.0
1255,75.0
1256,147.0
1257,376.0
1258,79.0
1260,191.0
1261,188.0
1262,379.0
1263,400.0
1264,301.0
1266,379.0
1269,181.0
1271,161.0
1272,239.0
1273,499.0
1274,676.0
1275,342.0
1278,389.0
1281,140.0
1282,130.0
1283,676.0
1289,191.0
1290,280.0
1291,89.0
1298,301.0
1299,219.0
1301,557.0
1302,683.0
1303,130.0
1305,201.0
1307,199.0
1308,199.0
1310,89.0
1314,219.0
1315,199.0
1316,499.0
1318,260.0
1319,277.0
1321,191.0
1323,328.0
1327,99.0
1329,390.0
1330,247.0
1331,75.0
1332,301.0
1335,546.0
1336,420.0
1337,482.0
1338,161.0
1339,199.0
1342,44.0
1343,250.0
1346,199.0
1347,188.0
1350,236.0
1351,260.0
1356,89.0
1359,171.0
1361,109.0
1362,301.0
1366,601.0
1367,181.0
1369,126.0
1370,249.0
1373,184.0
1375,427.0
1380,140.0
1381,150.0
1383,150.0
1384,359.0
1385,161.0
1389,150.0
1394,99.0
1395,75.0
1398,188.0
1399,260.0
1400,126.0
1402,349.0
1404,31.0
1405,147.0
1406,499.0
1407,348.0
1408,79.0
1410,191.0
1411,116.0
1413,301.0
1414,85.0
1415,239.0
1416,99.0
1417,161.0
1418,147.0
1419,550.0
1421,171.0
1423,250.0
1424,140.0
1426,297.0
1427,120.0
1428,700.0
1429,65.0
1430,68.0
1432,45.0
1434,219.0
1435,164.0
1436,85.0
1438,499.0
1439,219.0
1441,85.0
1442,120.0
1443,120.0
1444,120.0
1445,140.0
1446,140.0
1447,137.0
1448,198.0
1449,342.0
1450,751.0
1452,447.0
1453,417.0
1454,219.0
1456,75.0
1457,479.0
1458,499.0
1459,191.0
1460,171.0
1466,280.0
1470,1052.0
1471,290.0
1473,1001.0
1474,120.0
1475,96.0
1476,96.0
1477,96.0
1478,96.0
1480,34.0
1482,205.0
1483,376.0
1487,219.0
1488,171.0
1489,471.0
1490,199.0
1491,154.0
1492,75.0
1493,512.0
1494,459.0
1496,201.0
1499,140.0
1501,68.0
1502,249.0
1503,161.0
1504,246.0
1505,201.0
1507,239.0
1508,123.0
1510,99.0
1511,109.0
1514,99.0
1515,266.0
1516,380.0
1517,342.0
1518,219.0
1520,130.0
1521,199.0
1522,801.0
1524,1025.0
1526,68.0
1531,181.0
1532,130.0
1533,150.0
1534,65.0
1536,256.0
1537,215.0
1539,704.0
1540,144.0
1541,99.0
1543,514.0
1544,126.0
1546,89.0
1547,651.0
1548,120.0
1549,632.0
1550,188.0
1551,198.0
1552,99.0
1554,120.0
1555,1059.0
1556,591.0
1557,229.0
1558,150.0
1561,277.0
1565,195.0
1566,99.0
1567,99.0
1568,198.0
1569,99.0
1572,290.0
1573,253.0
1574,240.0
1575,167.0
1576,401.0
1578,201.0
1579,68.0
1580,199.0
1581,130.0
1582,699.0
1583,171.0
1585,181.0
1586,307.0
1587,68.0
1589,901.0
1590,167.0
1591,239.0
1592,201.0
1593,140.0
1594,342.0
1595,280.0
1597,509.0
1599,223.0
1603,301.0
1604,1195.0
1606,430.0
1607,212.0
1611,130.0
1613,174.0
1614,75.0
1615,120.0
1619,1052.0
1621,301.0
1623,150.0
1624,61.0
1626,250.0
1627,79.0
1628,68.0
1629,68.0
1630,120.0
1634,161.0
1635,181.0
1636,427.0
1637,632.0
1638,283.0
1639,44.0
1640,34.0
1642,550.0
1646,212.0
1647,249.0
1648,51.0
1651,500.0
1652,120.0
1653,82.0
1654,799.0
1656,680.0
1658,133.0
1659,219.0
1660,205.0
1662,225.0
1664,799.0
1666,499.0
1667,68.0
1668,376.0
1669,280.0
1670,151.0
1671,550.0
1672,110.0
1673,400.0
1674,130.0
1675,51.0
1678,236.0
1679,116.0
1680,301.0
1681,151.0
1682,181.0
1683,249.0
1684,181.0
1686,171.0
1689,249.0
1690,199.0
1691,110.0
1693,199.0
1694,133.0
1697,120.0
1698,137.0
1699,151.0
1700,239.0
1702,478.0
1704,249.0
1705,199.0
1706,400.0
1708,161.0
1709,257.0
1711,61.0
1716,137.0
1717,120.0
1718,301.0
1719,249.0
1720,219.0
1721,126.0
1722,400.0
1728,454.0
1730,96.0
1732,92.0
1733,451.0
1734,414.0
1735,379.0
1736,133.0
1737,348.0
1738,113.0
1739,266.0
1740,956.0
1742,352.0
1744,451.0
1745,379.0
1746,249.0
1747,301.0
1750,348.0
1751,615.0
1753,291.0
1755,99.0
1756,161.0
1757,79.0
1759,201.0
1761,411.0
1763,99.0
1764,229.0
1766,301.0
1767,150.0
1768,928.0
1769,201.0
1770,799.0
1772,181.0
1773,99.0
1774,225.0
1775,185.0
1776,249.0
1777,109.0
1779,301.0
1781,301.0
1782,79.0
1783,150.0
1786,400.0
1789,201.0
1790,260.0
1791,699.0
1792,321.0
1793,280.0
1799,161.0
1801,342.0
1802,400.0
1803,451.0
1805,601.0
1812,199.0
1813,99.0
1815,161.0
1816,79.0
1817,359.0
1818,1199.0
1819,154.0
1821,99.0
1823,301.0
1825,400.0
1826,55.0
1827,199.0
1829,201.0
1833,191.0
1836,164.0
1837,331.0
1838,451.0
1840,301.0
1841,181.0
1842,201.0
1843,219.0
1846,99.0
1847,499.0
1848,85.0
1849,1264.0
1850,137.0
1852,106.0
1854,130.0
1857,329.0
1859,140.0
1860,249.0
1861,140.0
1862,311.0
1863,550.0
1866,89.0
1867,249.0
1868,717.0
1869,219.0
1870,150.0
1871,1025.0
1873,1099.0
1876,126.0
1879,140.0
1880,291.0
1882,150.0
1883,225.0
1884,89.0
1886,379.0
1891,174.0
1892,249.0
1893,99.0
1895,249.0
1896,133.0
1897,1048.0
1898,499.0
1899,201.0
1900,482.0
1901,120.0
1903,394.0
1907,171.0
1917,389.0
1918,301.0
1921,1001.0
1923,208.0
1927,215.0
1929,120.0
1931,130.0
1933,215.0
1935,181.0
1941,140.0
1942,99.0
1944,126.0
1946,249.0
1947,92.0
1948,229.0
1949,68.0
1950,191.0
1951,499.0
1955,649.0
1957,188.0
1958,400.0
1959,150.0
1960,181.0
1961,201.0
1964,273.0
1965,401.0
1966,420.0
1968,201.0
1971,867.0
1972,270.0
1973,205.0
1974,151.0
1975,301.0
1977,140.0
1978,120.0
1979,451.0
1980,236.0
1983,201.0
1985,126.0
1986,348.0
1987,551.0
1989,888.0
1990,304.0
1991,120.0
1993,219.0
1994,120.0
1995,428.0
1996,171.0
1997,120.0
1999,229.0
2000,205.0
2001,201.0
2003,342.0
2004,451.0
2007,349.0
2008,181.0
2012,482.0
2015,75.0
2016,82.0
2017,400.0
2018,79.0
2019,499.0
2021,44.0
2022,150.0
2024,79.0
2026,181.0
2027,485.0
2028,222.0
2029,75.0
2030,55.0
2031,291.0
2032,219.0
2033,461.0
2034,229.0
2035,348.0
2036,137.0
